Zeit;FahrradbrueckeFahrradbruecke;FahrradbrueckeFahrradbruecke stadteinwärts Fahrräder;FahrradbrueckeFahrradbruecke stadtauswärts Fahrräder;Symbol Wetter;Temperatur (°C);Gefühlte Temperatur (°C);Regen (mm)
01.01.2020 00:00;104;31;73;Leicht bewölkt;1;-1;0
01.01.2020 01:00;128;47;81;Leicht bewölkt;0;-1;0
01.01.2020 02:00;178;77;101;Sonnig;0;-2;0
01.01.2020 03:00;113;56;57;Sonnig;0;-2;0
01.01.2020 04:00;76;36;40;Sonnig;0;-2;0
01.01.2020 05:00;50;12;38;Sonnig;0;-2;0
01.01.2020 06:00;25;14;11;Sonnig;-1;-3;0
01.01.2020 07:00;19;6;13;Sonnig;0;-2;0
01.01.2020 08:00;23;11;12;Sonnig;1;-1;0
01.01.2020 09:00;27;13;14;Sonnig;1;0;0
01.01.2020 10:00;36;21;15;Sonnig;3;1;0
01.01.2020 11:00;56;23;33;Sonnig;4;3;0
01.01.2020 12:00;76;33;43;Sonnig;5;5;0
01.01.2020 13:00;75;41;34;Sonnig;5;4;0
01.01.2020 14:00;91;40;51;Sonnig;5;4;0
01.01.2020 15:00;116;64;52;Sonnig;5;4;0
01.01.2020 16:00;115;50;65;Sonnig;4;3;0
01.01.2020 17:00;88;42;46;Sonnig;3;3;0
01.01.2020 18:00;97;36;61;Sonnig;2;2;0
01.01.2020 19:00;80;40;40;Sonnig;2;2;0
01.01.2020 20:00;61;30;31;Sonnig;1;1;0
01.01.2020 21:00;42;21;21;Sonnig;1;1;0
01.01.2020 22:00;34;13;21;Sonnig;1;1;0
01.01.2020 23:00;33;19;14;Sonnig;1;1;0
02.01.2020 00:00;18;5;13;Sonnig;1;1;0
02.01.2020 01:00;6;2;4;Sonnig;0;0;0
02.01.2020 02:00;4;1;3;Sonnig;0;0;0
02.01.2020 03:00;2;1;1;Sonnig;0;0;0
02.01.2020 04:00;10;5;5;Sonnig;0;0;0
02.01.2020 05:00;19;8;11;Sonnig;0;0;0
02.01.2020 06:00;58;41;17;Sonnig;0;0;0
02.01.2020 07:00;138;80;58;Sonnig;0;0;0
02.01.2020 08:00;187;112;75;Sonnig;1;1;0
02.01.2020 09:00;202;134;68;Sonnig;2;2;0
02.01.2020 10:00;202;131;71;Sonnig;4;4;0
02.01.2020 11:00;308;174;134;Sonnig;5;5;0
02.01.2020 12:00;275;120;155;Sonnig;6;6;0
02.01.2020 13:00;319;152;167;Sonnig;6;6;0
02.01.2020 14:00;322;165;157;Sonnig;5;5;0
02.01.2020 15:00;358;167;191;Sonnig;4;5;0
02.01.2020 16:00;323;159;164;Sonnig;4;4;0
02.01.2020 17:00;343;151;192;Leicht bewölkt;3;3;0
02.01.2020 18:00;277;117;160;Leicht bewölkt;2;2;0
02.01.2020 19:00;229;87;142;Leicht bewölkt;2;2;0
02.01.2020 20:00;136;58;78;Leicht bewölkt;1;1;0
02.01.2020 21:00;100;51;49;Leicht bewölkt;1;1;0
02.01.2020 22:00;113;45;68;Leicht bewölkt;1;0;0
02.01.2020 23:00;89;41;48;Leicht bewölkt;1;0;0
03.01.2020 00:00;44;17;27;Leicht bewölkt;0;0;0
03.01.2020 01:00;34;7;27;Leicht bewölkt;0;0;0
03.01.2020 02:00;13;7;6;Leicht bewölkt;0;0;0
03.01.2020 03:00;3;2;1;Leicht bewölkt;0;0;0
03.01.2020 04:00;10;4;6;Leicht bewölkt;0;-1;0
03.01.2020 05:00;26;14;12;Bewölkt;0;-1;0
03.01.2020 06:00;83;54;29;Bewölkt;0;-1;0
03.01.2020 07:00;127;74;53;Bewölkt;0;0;0
03.01.2020 08:00;199;130;69;Bedeckt;1;1;0
03.01.2020 09:00;233;147;86;Bedeckt;2;2;0
03.01.2020 10:00;291;156;135;Bedeckt;3;2;0
03.01.2020 11:00;392;228;164;Bedeckt;5;3;0
03.01.2020 12:00;344;153;191;Bedeckt;6;4;0
03.01.2020 13:00;340;152;188;Bedeckt;6;4;0
03.01.2020 14:00;379;191;188;Bedeckt;5;3;0
03.01.2020 15:00;369;178;191;Bedeckt;5;3;0
03.01.2020 16:00;351;164;187;Bedeckt;5;2;0
03.01.2020 17:00;358;159;199;Bewölkt;4;2;0
03.01.2020 18:00;292;124;168;Bewölkt;4;1;0
03.01.2020 19:00;221;99;122;Bewölkt;3;1;0
03.01.2020 20:00;129;57;72;Bedeckt;2;1;2
03.01.2020 21:00;102;47;55;Bedeckt;1;0;3
03.01.2020 22:00;78;28;50;Bedeckt;2;1;1
03.01.2020 23:00;69;28;41;Leichter Regenfall;2;1;1
04.01.2020 00:00;75;20;55;Leichter Regenfall;3;1;2
04.01.2020 01:00;34;5;29;Leichter Regenfall;4;2;1
04.01.2020 02:00;40;13;27;Bedeckt;4;2;1
04.01.2020 03:00;14;5;9;Bedeckt;5;2;2
04.01.2020 04:00;5;2;3;Bedeckt;5;2;1
04.01.2020 05:00;16;10;6;Nieselregen;5;2;2
04.01.2020 06:00;26;16;10;Nieselregen;5;2;2
04.01.2020 07:00;39;27;12;Nieselregen;5;2;1
04.01.2020 08:00;86;44;42;Nieselregen;5;2;1
04.01.2020 09:00;131;88;43;Nieselregen;5;3;2
04.01.2020 10:00;177;103;74;Nieselregen;5;3;1
04.01.2020 11:00;241;126;115;Nieselregen;5;3;2
04.01.2020 12:00;303;165;138;Nieselregen;5;3;2
04.01.2020 13:00;288;148;140;Nieselregen;5;3;1
04.01.2020 14:00;303;132;171;Nieselregen;5;3;1
04.01.2020 15:00;252;134;118;Nieselregen;5;3;1
04.01.2020 16:00;306;151;155;Nieselregen;4;3;0
04.01.2020 17:00;252;120;132;Stellenweiser Regenfall;4;2;0
04.01.2020 18:00;272;128;144;Stellenweiser Regenfall;3;2;0
04.01.2020 19:00;201;104;97;Stellenweiser Regenfall;3;2;0
04.01.2020 20:00;153;73;80;Bedeckt;3;1;0
04.01.2020 21:00;119;71;48;Bedeckt;3;1;0
04.01.2020 22:00;89;48;41;Bedeckt;2;1;0
04.01.2020 23:00;79;30;49;Leicht bewölkt;2;1;0
05.01.2020 00:00;80;20;60;Leicht bewölkt;2;1;0
05.01.2020 01:00;58;9;49;Leicht bewölkt;1;1;0
05.01.2020 02:00;39;10;29;Leicht bewölkt;1;1;0
05.01.2020 03:00;25;6;19;Leicht bewölkt;1;1;0
05.01.2020 04:00;15;5;10;Leicht bewölkt;1;1;0
05.01.2020 05:00;14;6;8;Leicht bewölkt;1;1;0
05.01.2020 06:00;18;12;6;Leicht bewölkt;1;1;0
05.01.2020 07:00;15;8;7;Leicht bewölkt;1;1;0
05.01.2020 08:00;41;20;21;Leicht bewölkt;2;2;0
05.01.2020 09:00;102;50;52;Leicht bewölkt;2;2;0
05.01.2020 10:00;110;59;51;Leicht bewölkt;3;2;0
05.01.2020 11:00;164;70;94;Leicht bewölkt;3;3;0
05.01.2020 12:00;223;105;118;Leicht bewölkt;4;3;0
05.01.2020 13:00;283;137;146;Leicht bewölkt;4;3;0
05.01.2020 14:00;255;110;145;Leicht bewölkt;4;3;0
05.01.2020 15:00;252;140;112;Leicht bewölkt;5;3;0
05.01.2020 16:00;253;122;131;Leicht bewölkt;4;2;0
05.01.2020 17:00;205;118;87;Leicht bewölkt;3;1;0
05.01.2020 18:00;205;115;90;Leicht bewölkt;2;0;0
05.01.2020 19:00;164;93;71;Leicht bewölkt;2;0;0
05.01.2020 20:00;135;60;75;Leicht bewölkt;1;-1;0
05.01.2020 21:00;91;47;44;Leicht bewölkt;1;-1;0
05.01.2020 22:00;94;34;60;Leicht bewölkt;0;-1;0
05.01.2020 23:00;76;28;48;Leicht bewölkt;0;-1;0
06.01.2020 00:00;35;20;15;Leicht bewölkt;0;-1;0
06.01.2020 01:00;22;9;13;Leicht bewölkt;0;-1;0
06.01.2020 02:00;14;4;10;Leicht bewölkt;0;-1;0
06.01.2020 03:00;10;5;5;Leicht bewölkt;0;-1;0
06.01.2020 04:00;12;7;5;Leicht bewölkt;0;-1;0
06.01.2020 05:00;28;17;11;Leicht bewölkt;0;-1;0
06.01.2020 06:00;66;60;6;Leicht bewölkt;0;-1;0
06.01.2020 07:00;57;47;10;Leicht bewölkt;0;0;0
06.01.2020 08:00;75;42;33;Leicht bewölkt;1;0;0
06.01.2020 09:00;119;67;52;Leicht bewölkt;1;1;0
06.01.2020 10:00;125;68;57;Leicht bewölkt;3;3;0
06.01.2020 11:00;136;60;76;Leicht bewölkt;4;4;0
06.01.2020 12:00;174;81;93;Leicht bewölkt;6;6;0
06.01.2020 13:00;179;93;86;Leicht bewölkt;6;6;0
06.01.2020 14:00;208;96;112;Leicht bewölkt;6;6;0
06.01.2020 15:00;195;94;101;Leicht bewölkt;6;6;0
06.01.2020 16:00;265;114;151;Leicht bewölkt;5;5;0
06.01.2020 17:00;279;136;143;Sonnig;5;5;0
06.01.2020 18:00;250;107;143;Sonnig;4;4;0
06.01.2020 19:00;227;108;119;Sonnig;4;3;0
06.01.2020 20:00;151;67;84;Sonnig;3;2;0
06.01.2020 21:00;108;41;67;Sonnig;2;1;0
06.01.2020 22:00;94;38;56;Sonnig;2;1;0
06.01.2020 23:00;65;24;41;Leicht bewölkt;1;0;0
07.01.2020 00:00;27;15;12;Leicht bewölkt;1;-1;0
07.01.2020 01:00;14;3;11;Leicht bewölkt;1;-1;0
07.01.2020 02:00;2;2;0;Leicht bewölkt;1;-1;0
07.01.2020 03:00;7;5;2;Leicht bewölkt;1;-1;0
07.01.2020 04:00;6;2;4;Leicht bewölkt;1;-1;0
07.01.2020 05:00;40;28;12;Leicht bewölkt;1;-1;0
07.01.2020 06:00;178;114;64;Leicht bewölkt;2;-1;0
07.01.2020 07:00;949;595;354;Leicht bewölkt;2;0;0
07.01.2020 08:00;766;459;307;Bewölkt;3;1;1
07.01.2020 09:00;645;405;240;Bewölkt;4;2;1
07.01.2020 10:00;323;175;148;Bewölkt;4;3;0
07.01.2020 11:00;523;253;270;Nieselregen;5;3;0
07.01.2020 12:00;510;219;291;Nieselregen;6;4;0
07.01.2020 13:00;755;341;414;Nieselregen;5;4;0
07.01.2020 14:00;515;265;250;Leicht bewölkt;5;4;0
07.01.2020 15:00;859;387;472;Leicht bewölkt;5;5;0
07.01.2020 16:00;722;360;362;Leicht bewölkt;4;4;0
07.01.2020 17:00;915;387;528;Leicht bewölkt;4;3;0
07.01.2020 18:00;716;292;424;Leicht bewölkt;3;3;0
07.01.2020 19:00;539;231;308;Leicht bewölkt;2;2;0
07.01.2020 20:00;329;135;194;Leicht bewölkt;1;1;0
07.01.2020 21:00;193;69;124;Leicht bewölkt;0;0;0
07.01.2020 22:00;190;81;109;Leicht bewölkt;0;0;0
07.01.2020 23:00;45;19;26;Leicht bewölkt;0;0;0
08.01.2020 00:00;37;11;26;Leicht bewölkt;-1;-1;0
08.01.2020 01:00;16;5;11;Leicht bewölkt;-1;-1;0
08.01.2020 02:00;6;2;4;Leicht bewölkt;-1;-1;0
08.01.2020 03:00;2;1;1;Leicht bewölkt;-1;-2;0
08.01.2020 04:00;7;4;3;Leicht bewölkt;-1;-2;0
08.01.2020 05:00;47;33;14;Leicht bewölkt;-1;-2;0
08.01.2020 06:00;167;110;57;Leicht bewölkt;-1;-2;0
08.01.2020 07:00;979;617;362;Leicht bewölkt;0;-1;0
08.01.2020 08:00;722;420;302;Leicht bewölkt;1;0;0
08.01.2020 09:00;649;383;266;Leicht bewölkt;1;1;0
08.01.2020 10:00;362;219;143;Leicht bewölkt;2;2;0
08.01.2020 11:00;500;230;270;Leicht bewölkt;4;3;0
08.01.2020 12:00;552;257;295;Leicht bewölkt;5;4;0
08.01.2020 13:00;784;384;400;Leicht bewölkt;5;4;0
08.01.2020 14:00;510;258;252;Leicht bewölkt;4;4;0
08.01.2020 15:00;724;307;417;Leicht bewölkt;4;4;0
08.01.2020 16:00;673;267;406;Leicht bewölkt;3;3;0
08.01.2020 17:00;859;376;483;Leicht bewölkt;3;2;0
08.01.2020 18:00;677;315;362;Leicht bewölkt;2;2;0
08.01.2020 19:00;541;241;300;Leicht bewölkt;2;1;0
08.01.2020 20:00;379;162;217;Leicht bewölkt;2;1;0
08.01.2020 21:00;220;93;127;Leicht bewölkt;2;1;0
08.01.2020 22:00;202;90;112;Leicht bewölkt;1;1;0
08.01.2020 23:00;102;37;65;Leicht bewölkt;1;1;0
09.01.2020 00:00;53;11;42;Leicht bewölkt;1;1;0
09.01.2020 01:00;23;4;19;Leicht bewölkt;1;1;0
09.01.2020 02:00;5;3;2;Leicht bewölkt;1;1;0
09.01.2020 03:00;3;2;1;Leicht bewölkt;1;1;0
09.01.2020 04:00;7;3;4;Leicht bewölkt;1;1;0
09.01.2020 05:00;49;33;16;Leicht bewölkt;1;1;0
09.01.2020 06:00;153;90;63;Leicht bewölkt;1;1;0
09.01.2020 07:00;925;586;339;Leicht bewölkt;2;2;0
09.01.2020 08:00;724;426;298;Leicht bewölkt;2;2;0
09.01.2020 09:00;670;424;246;Leicht bewölkt;3;3;0
09.01.2020 10:00;415;230;185;Leicht bewölkt;4;4;0
09.01.2020 11:00;508;258;250;Leicht bewölkt;6;6;0
09.01.2020 12:00;517;220;297;Leicht bewölkt;7;7;0
09.01.2020 13:00;723;281;442;Leicht bewölkt;7;7;0
09.01.2020 14:00;551;251;300;Leicht bewölkt;7;7;0
09.01.2020 15:00;836;428;408;Leicht bewölkt;7;7;0
09.01.2020 16:00;772;330;442;Leicht bewölkt;5;5;0
09.01.2020 17:00;915;373;542;Leicht bewölkt;4;4;0
09.01.2020 18:00;740;311;429;Leicht bewölkt;3;3;0
09.01.2020 19:00;522;228;294;Leicht bewölkt;3;3;0
09.01.2020 20:00;338;152;186;Bedeckt;2;2;0
09.01.2020 21:00;224;93;131;Bedeckt;1;1;0
09.01.2020 22:00;210;83;127;Bedeckt;1;1;0
09.01.2020 23:00;109;48;61;Leicht bewölkt;2;1;0
10.01.2020 00:00;42;9;33;Leicht bewölkt;2;1;0
10.01.2020 01:00;37;13;24;Leicht bewölkt;2;0;0
10.01.2020 02:00;11;5;6;Leicht bewölkt;2;0;0
10.01.2020 03:00;8;3;5;Leicht bewölkt;2;-1;0
10.01.2020 04:00;3;2;1;Leicht bewölkt;2;-1;0
10.01.2020 05:00;64;50;14;Bewölkt;2;-1;0
10.01.2020 06:00;148;86;62;Bewölkt;2;-1;0
10.01.2020 07:00;827;496;331;Bewölkt;3;0;0
10.01.2020 08:00;648;388;260;Leicht bewölkt;3;1;0
10.01.2020 09:00;643;384;259;Leicht bewölkt;4;2;0
10.01.2020 10:00;443;255;188;Leicht bewölkt;5;3;0
10.01.2020 11:00;556;273;283;Leicht bewölkt;6;4;0
10.01.2020 12:00;644;297;347;Leicht bewölkt;8;5;0
10.01.2020 13:00;801;356;445;Leicht bewölkt;8;5;0
10.01.2020 14:00;672;311;361;Bewölkt;8;5;0
10.01.2020 15:00;684;327;357;Bewölkt;8;6;0
10.01.2020 16:00;621;271;350;Bewölkt;7;5;0
10.01.2020 17:00;693;313;380;Stellenweiser Regenfall;6;4;0
10.01.2020 18:00;584;264;320;Stellenweiser Regenfall;6;4;0
10.01.2020 19:00;420;207;213;Stellenweiser Regenfall;6;4;0
10.01.2020 20:00;277;133;144;Bewölkt;5;3;0
10.01.2020 21:00;206;100;106;Bewölkt;5;3;0
10.01.2020 22:00;166;55;111;Bewölkt;5;4;0
10.01.2020 23:00;159;52;107;Nieselregen;5;4;0
11.01.2020 00:00;155;55;100;Nieselregen;5;4;1
11.01.2020 01:00;90;14;76;Nieselregen;5;4;0
11.01.2020 02:00;39;10;29;Bedeckt;5;5;1
11.01.2020 03:00;30;13;17;Bedeckt;5;5;1
11.01.2020 04:00;13;5;8;Bedeckt;4;4;0
11.01.2020 05:00;41;27;14;Nieselregen;4;4;1
11.01.2020 06:00;35;27;8;Nieselregen;4;3;1
11.01.2020 07:00;60;30;30;Nieselregen;4;4;0
11.01.2020 08:00;150;78;72;Nieselregen;4;4;0
11.01.2020 09:00;298;181;117;Nieselregen;4;4;0
11.01.2020 10:00;365;217;148;Nieselregen;5;5;0
11.01.2020 11:00;437;227;210;Leicht bewölkt;6;6;0
11.01.2020 12:00;544;314;230;Leicht bewölkt;7;6;0
11.01.2020 13:00;467;261;206;Leicht bewölkt;7;6;0
11.01.2020 14:00;498;260;238;Leicht bewölkt;7;6;0
11.01.2020 15:00;507;250;257;Leicht bewölkt;6;6;0
11.01.2020 16:00;466;211;255;Leicht bewölkt;5;5;0
11.01.2020 17:00;440;202;238;Leicht bewölkt;4;4;0
11.01.2020 18:00;404;151;253;Leicht bewölkt;4;3;0
11.01.2020 19:00;347;167;180;Leicht bewölkt;3;2;0
11.01.2020 20:00;275;121;154;Leicht bewölkt;2;2;0
11.01.2020 21:00;232;137;95;Leicht bewölkt;1;1;0
11.01.2020 22:00;186;83;103;Leicht bewölkt;1;1;0
11.01.2020 23:00;162;70;92;Leicht bewölkt;1;0;0
12.01.2020 00:00;96;40;56;Leicht bewölkt;0;0;0
12.01.2020 01:00;117;34;83;Leicht bewölkt;0;0;0
12.01.2020 02:00;85;31;54;Leicht bewölkt;0;0;0
12.01.2020 03:00;54;18;36;Leicht bewölkt;0;-1;0
12.01.2020 04:00;15;4;11;Leicht bewölkt;0;-1;0
12.01.2020 05:00;13;4;9;Leicht bewölkt;-1;-1;0
12.01.2020 06:00;28;18;10;Leicht bewölkt;-1;-1;0
12.01.2020 07:00;37;20;17;Leicht bewölkt;0;-1;0
12.01.2020 08:00;71;29;42;Leicht bewölkt;1;0;0
12.01.2020 09:00;159;78;81;Leicht bewölkt;2;1;0
12.01.2020 10:00;188;94;94;Leicht bewölkt;3;2;0
12.01.2020 11:00;213;117;96;Leicht bewölkt;4;3;0
12.01.2020 12:00;258;128;130;Leicht bewölkt;5;4;0
12.01.2020 13:00;275;154;121;Leicht bewölkt;5;4;0
12.01.2020 14:00;313;153;160;Bewölkt;5;4;0
12.01.2020 15:00;259;103;156;Bewölkt;5;4;0
12.01.2020 16:00;367;160;207;Bewölkt;4;3;0
12.01.2020 17:00;265;113;152;Bedeckt;3;2;0
12.01.2020 18:00;239;127;112;Bedeckt;3;1;0
12.01.2020 19:00;190;96;94;Bedeckt;2;1;0
12.01.2020 20:00;164;92;72;Bedeckt;2;1;0
12.01.2020 21:00;93;38;55;Bedeckt;1;0;0
12.01.2020 22:00;99;36;63;Bedeckt;1;0;0
12.01.2020 23:00;71;26;45;Bedeckt;1;1;0
13.01.2020 00:00;26;6;20;Bedeckt;1;1;0
13.01.2020 01:00;15;3;12;Bedeckt;1;0;0
13.01.2020 02:00;3;1;2;Bedeckt;0;0;0
13.01.2020 03:00;4;4;0;Bedeckt;0;0;0
13.01.2020 04:00;3;2;1;Bedeckt;0;0;0
13.01.2020 05:00;50;33;17;Leicht bewölkt;0;0;0
13.01.2020 06:00;180;111;69;Leicht bewölkt;-1;-1;0
13.01.2020 07:00;889;548;341;Leicht bewölkt;0;0;0
13.01.2020 08:00;694;424;270;Leicht bewölkt;1;1;0
13.01.2020 09:00;616;386;230;Leicht bewölkt;1;1;0
13.01.2020 10:00;355;203;152;Leicht bewölkt;3;3;0
13.01.2020 11:00;475;255;220;Leicht bewölkt;4;4;0
13.01.2020 12:00;454;198;256;Leicht bewölkt;5;5;0
13.01.2020 13:00;753;359;394;Leicht bewölkt;5;5;0
13.01.2020 14:00;529;231;298;Leicht bewölkt;5;5;0
13.01.2020 15:00;819;364;455;Leicht bewölkt;5;5;0
13.01.2020 16:00;702;339;363;Leicht bewölkt;4;4;0
13.01.2020 17:00;886;395;491;Leicht bewölkt;3;3;0
13.01.2020 18:00;698;302;396;Leicht bewölkt;2;2;0
13.01.2020 19:00;569;251;318;Leicht bewölkt;1;1;0
13.01.2020 20:00;369;159;210;Leicht bewölkt;0;0;0
13.01.2020 21:00;228;93;135;Leicht bewölkt;-1;-1;0
13.01.2020 22:00;213;89;124;Leicht bewölkt;-1;-1;0
13.01.2020 23:00;96;42;54;Sonnig;-1;-1;0
14.01.2020 00:00;39;16;23;Sonnig;-1;-1;0
14.01.2020 01:00;21;5;16;Sonnig;-1;-1;0
14.01.2020 02:00;4;2;2;Leicht bewölkt;-1;-1;0
14.01.2020 03:00;10;3;7;Leicht bewölkt;-1;-2;0
14.01.2020 04:00;7;6;1;Leicht bewölkt;-1;-1;0
14.01.2020 05:00;44;33;11;Bedeckt;-1;-1;0
14.01.2020 06:00;157;99;58;Bedeckt;-1;-1;0
14.01.2020 07:00;940;573;367;Bedeckt;0;0;0
14.01.2020 08:00;800;417;383;Leicht bewölkt;1;0;0
14.01.2020 09:00;684;431;253;Leicht bewölkt;1;1;0
14.01.2020 10:00;355;197;158;Leicht bewölkt;3;3;0
14.01.2020 11:00;489;257;232;Leicht bewölkt;5;4;0
14.01.2020 12:00;521;198;323;Leicht bewölkt;6;6;0
14.01.2020 13:00;756;359;397;Leicht bewölkt;6;6;0
14.01.2020 14:00;493;222;271;Leicht bewölkt;6;6;0
14.01.2020 15:00;790;351;439;Leicht bewölkt;5;5;0
14.01.2020 16:00;709;336;373;Leicht bewölkt;4;4;0
14.01.2020 17:00;928;436;492;Bedeckt;3;3;0
14.01.2020 18:00;698;287;411;Bedeckt;2;2;0
14.01.2020 19:00;630;265;365;Bedeckt;2;1;0
14.01.2020 20:00;334;135;199;Bewölkt;2;1;0
14.01.2020 21:00;256;102;154;Bewölkt;1;0;0
14.01.2020 22:00;181;60;121;Bewölkt;1;0;0
14.01.2020 23:00;109;51;58;Leicht bewölkt;1;0;0
15.01.2020 00:00;41;18;23;Leicht bewölkt;1;1;0
15.01.2020 01:00;27;6;21;Leicht bewölkt;1;0;0
15.01.2020 02:00;5;2;3;Leicht bewölkt;1;0;0
15.01.2020 03:00;7;6;1;Leicht bewölkt;0;0;0
15.01.2020 04:00;6;3;3;Leicht bewölkt;0;0;0
15.01.2020 05:00;50;32;18;Leicht bewölkt;0;0;0
15.01.2020 06:00;156;100;56;Leicht bewölkt;0;-1;0
15.01.2020 07:00;967;606;361;Leicht bewölkt;1;0;0
15.01.2020 08:00;693;401;292;Leicht bewölkt;1;1;0
15.01.2020 09:00;702;442;260;Leicht bewölkt;2;2;0
15.01.2020 10:00;350;181;169;Leicht bewölkt;4;3;0
15.01.2020 11:00;500;247;253;Sonnig;5;5;0
15.01.2020 12:00;574;251;323;Sonnig;7;6;0
15.01.2020 13:00;780;387;393;Sonnig;6;6;0
15.01.2020 14:00;542;254;288;Leicht bewölkt;6;5;0
15.01.2020 15:00;841;355;486;Leicht bewölkt;6;5;0
15.01.2020 16:00;729;356;373;Leicht bewölkt;5;4;0
15.01.2020 17:00;878;370;508;Leicht bewölkt;4;3;0
15.01.2020 18:00;716;287;429;Leicht bewölkt;3;2;0
15.01.2020 19:00;538;249;289;Leicht bewölkt;3;1;0
15.01.2020 20:00;402;163;239;Leicht bewölkt;2;1;0
15.01.2020 21:00;276;121;155;Leicht bewölkt;2;0;0
15.01.2020 22:00;240;104;136;Leicht bewölkt;2;0;0
15.01.2020 23:00;104;43;61;Leicht bewölkt;2;1;0
16.01.2020 00:00;69;23;46;Leicht bewölkt;3;1;0
16.01.2020 01:00;21;9;12;Leicht bewölkt;3;1;0
16.01.2020 02:00;6;2;4;Bewölkt;3;2;0
16.01.2020 03:00;10;5;5;Bewölkt;4;2;0
16.01.2020 04:00;8;6;2;Bewölkt;3;2;0
16.01.2020 05:00;46;32;14;Bewölkt;3;3;0
16.01.2020 06:00;164;104;60;Bewölkt;3;3;0
16.01.2020 07:00;946;578;368;Bewölkt;3;3;0
16.01.2020 08:00;704;415;289;Leicht bewölkt;4;4;0
16.01.2020 09:00;699;427;272;Leicht bewölkt;4;4;0
16.01.2020 10:00;377;210;167;Leicht bewölkt;6;5;0
16.01.2020 11:00;549;260;289;Leicht bewölkt;7;7;0
16.01.2020 12:00;530;227;303;Leicht bewölkt;8;8;0
16.01.2020 13:00;719;303;416;Leicht bewölkt;9;9;0
16.01.2020 14:00;565;234;331;Leicht bewölkt;9;9;0
16.01.2020 15:00;888;437;451;Leicht bewölkt;10;10;0
16.01.2020 16:00;731;327;404;Leicht bewölkt;9;9;0
16.01.2020 17:00;944;390;554;Leicht bewölkt;9;9;0
16.01.2020 18:00;765;356;409;Leicht bewölkt;8;8;0
16.01.2020 19:00;597;304;293;Leicht bewölkt;7;7;0
16.01.2020 20:00;366;141;225;Leicht bewölkt;6;6;0
16.01.2020 21:00;253;97;156;Leicht bewölkt;6;6;0
16.01.2020 22:00;265;103;162;Leicht bewölkt;5;5;0
16.01.2020 23:00;107;30;77;Sonnig;5;5;0
17.01.2020 00:00;63;21;42;Sonnig;5;5;0
17.01.2020 01:00;35;15;20;Sonnig;4;4;0
17.01.2020 02:00;19;10;9;Sonnig;4;4;0
17.01.2020 03:00;3;2;1;Sonnig;4;3;0
17.01.2020 04:00;4;3;1;Sonnig;3;2;0
17.01.2020 05:00;55;40;15;Leicht bewölkt;2;2;0
17.01.2020 06:00;159;90;69;Leicht bewölkt;2;1;0
17.01.2020 07:00;853;514;339;Leicht bewölkt;2;1;0
17.01.2020 08:00;642;373;269;Leicht bewölkt;3;2;0
17.01.2020 09:00;633;398;235;Leicht bewölkt;3;2;0
17.01.2020 10:00;379;193;186;Leicht bewölkt;5;4;0
17.01.2020 11:00;498;251;247;Leicht bewölkt;6;5;0
17.01.2020 12:00;659;316;343;Leicht bewölkt;7;7;0
17.01.2020 13:00;772;290;482;Leicht bewölkt;7;7;0
17.01.2020 14:00;629;300;329;Leicht bewölkt;7;7;0
17.01.2020 15:00;605;284;321;Leicht bewölkt;7;7;0
17.01.2020 16:00;611;267;344;Leicht bewölkt;7;6;0
17.01.2020 17:00;583;246;337;Leicht bewölkt;6;5;0
17.01.2020 18:00;525;236;289;Leicht bewölkt;5;4;0
17.01.2020 19:00;469;249;220;Leicht bewölkt;5;3;0
17.01.2020 20:00;273;121;152;Bedeckt;5;2;5
17.01.2020 21:00;227;93;134;Bedeckt;5;1;7
17.01.2020 22:00;162;61;101;Bedeckt;5;1;3
17.01.2020 23:00;153;54;99;Leichter Regenfall;4;1;7
18.01.2020 00:00;133;49;84;Leichter Regenfall;4;1;13
18.01.2020 01:00;100;34;66;Leichter Regenfall;4;1;7
18.01.2020 02:00;43;17;26;Leichter Regenfall;4;1;9
18.01.2020 03:00;28;6;22;Leichter Regenfall;4;2;12
18.01.2020 04:00;15;7;8;Leichter Regenfall;4;2;6
18.01.2020 05:00;23;12;11;Mäßiger Regenfall;4;1;1
18.01.2020 06:00;39;31;8;Mäßiger Regenfall;4;1;14
18.01.2020 07:00;66;30;36;Mäßiger Regenfall;4;1;7
18.01.2020 08:00;132;63;69;Mäßiger Regenfall;4;1;4
18.01.2020 09:00;257;161;96;Mäßiger Regenfall;4;1;5
18.01.2020 10:00;376;220;156;Mäßiger Regenfall;4;1;3
18.01.2020 11:00;424;227;197;Leichte Eisregen;5;2;1
18.01.2020 12:00;468;252;216;Leichte Eisregen;5;2;1
18.01.2020 13:00;449;234;215;Leichte Eisregen;5;2;1
18.01.2020 14:00;484;278;206;Stellenweiser Regenfall;5;2;1
18.01.2020 15:00;507;238;269;Stellenweiser Regenfall;5;3;1
18.01.2020 16:00;401;175;226;Stellenweiser Regenfall;4;2;0
18.01.2020 17:00;417;188;229;Stellenweiser Regenfall;3;1;0
18.01.2020 18:00;390;164;226;Stellenweiser Regenfall;2;1;0
18.01.2020 19:00;385;213;172;Stellenweiser Regenfall;2;1;0
18.01.2020 20:00;236;130;106;Leicht bewölkt;1;0;0
18.01.2020 21:00;171;79;92;Leicht bewölkt;1;0;0
18.01.2020 22:00;195;79;116;Leicht bewölkt;1;1;0
18.01.2020 23:00;161;55;106;Bedeckt;1;1;0
